ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"107.150.50.226","elite","AS33387","US","Nocix, LLC","116","home","56970","socks5","1","99","9131","9227","2025-03-08T16:35:34.968Z","1086"
"47.102.194.161","elite","AS37963","CN","Addresses CNNIC","200","Aliyun Computing Co., LTD","22002","socks5","1","50","4604","9243","2025-03-08T16:35:34.970Z","781"
"1.20.91.246","elite","AS23969","TH","TOT Public Company Limited","184","TOT Mobile Co LTD","5678","socks4","1","55","762","1391","2025-03-08T16:35:34.971Z","3106"
"180.241.249.131","elite","AS7713","ID","PT. TELKOM INDONESIA","264","N/A","8080","socks5","1","61","5648","9186","2025-03-08T16:35:27.282Z","809"
"80.92.227.185","elite","N/A","UA","WNET TELECOM USA Corp.","41","N/A","5678","socks4","1","98","2478","2529","2025-03-08T16:35:27.279Z","1492"
"178.17.170.76","elite","AS43289","MD","Trabia SRL","41","Trabia SRL","1080","socks4","1","7","96","1324","2025-03-08T16:35:27.970Z","3804"
"103.111.137.102","elite","AS136093","ID","FAZNET","404","N/A","5678","socks4","1","94","1978","2111","2025-03-08T16:35:27.275Z","5085"
"208.91.197.18","elite","AS40034","VG","Confluence Networks Inc","119","Confluence Networks Inc","40034","socks5","1","99","9023","9092","2025-03-08T16:35:27.278Z","2601"
"188.136.162.30","elite","AS48309","IR","Ariana Gostar Spadana's","106","N/A","4153","socks4","1","94","8611","9177","2025-03-08T16:35:27.969Z","2602"
"120.24.52.179","elite","AS37963","CN","Hangzhou Alibaba Advertising Co., Ltd.","196","Alibaba.com LLC","3128","socks5","1","90","8277","9244","2025-03-08T16:35:10.277Z","2496"
"170.245.248.45","elite","AS266032","BR","T.A.LUIZ ELETRONICO LTDA - ME","288","T.A.LUIZ ELETRONICO LTDA - ME","60606","socks4","15093","98","788","801","2025-03-08T16:35:10.271Z","3586"
"172.64.152.98","elite","AS13335","US","Cloudflare, Inc.","4","Cloudflare, Inc.","80","socks4","1","100","9167","9167","2025-03-08T16:35:10.275Z","215"
"181.88.73.214","elite","AS7303","AR","Telecom Argentina S.A","250","Telecom Acceso","5678","socks4","1","100","9150","9176","2025-03-08T16:35:10.269Z","4585"
"103.130.106.153","elite","AS138300","IN","Opticom Networks Private Limited","161","Opticom Networks Private Limited","83","socks4","1","99","1313","1324","2025-03-08T16:35:10.269Z","3998"
"103.120.135.229","elite","AS38235","KH","Angkor Data Communication","214","N/A","33427","socks5","1","98","8897","9064","2025-03-08T16:35:10.268Z","459"
"110.78.149.161","elite","AS131090","TH","CAT-BB","291","N/A","5678","socks4","1","69","6369","9272","2025-03-08T16:35:10.270Z","1592"
"204.10.182.34","elite","AS1819","US","DCM Cable Inc.","108","DCM Cable Inc","39593","socks4","1","100","9261","9273","2025-03-08T16:35:10.372Z","3401"
"188.114.98.25","elite","AS13335","CA","Cloudflare, Inc.","3","CloudFlare, Inc.","443","socks4","1","100","9174","9178","2025-03-08T16:35:10.275Z","560"
"203.99.57.145","elite","AS23674","PK","Nayatel (Pvt) Ltd","158","Micronet","5678","socks4","1","100","9155","9190","2025-03-08T16:35:10.274Z","3200"
"58.18.39.58","elite","AS4837","CN","CNC Group CHINA169 Neimeng Province Network","192","N/A","10800","socks4","1","100","641","642","2025-03-08T16:35:10.266Z","694"
"190.111.246.128","elite","AS11014","AR","CPS","209","CPS","80","socks4","1","93","8589","9232","2025-03-08T16:35:04.470Z","4689"
"152.70.246.185","elite","AS31898","KR","Oracle Corporation","251","Oracle Cloud Infrastructure (ap-seoul-1)","31898","socks5","1","99","9145","9234","2025-03-08T16:35:04.469Z","4597"
"109.127.82.114","elite","AS21277","IQ","Newroz Telecom","81","N/A","5678","socks4","1","99","9139","9222","2025-03-08T16:35:04.472Z","685"
"115.127.103.82","elite","AS24342","BD","BRACNet Limited","159","BRACNet Limited","4673","socks4","1","93","8565","9210","2025-03-08T16:35:04.282Z","5799"
"51.68.93.11","elite","AS16276","FR","OVH SAS","6","OVH","46979","socks5","1","95","8666","9155","2025-03-08T16:35:04.473Z","5116"
"121.101.186.201","elite","AS38785","ID","BAGUSNET","227","N/A","43296","socks4","1","92","8489","9247","2025-03-08T16:35:04.470Z","612"
"8.210.62.161","elite","AS45102","HK","Alibaba.com LLC","309","Hong Kong","10020","socks4","1","98","8993","9141","2025-03-08T16:35:04.267Z","500"
"136.226.215.107","elite","AS62044","ES","Zscaler Switzerland GmbH","32","Zscaler, Inc","8080","socks4","1","96","1877","1954","2025-03-08T16:35:04.268Z","4408"
"41.65.227.111","elite","AS36992","EG","Enterprise","73","Nile Online","1981","socks5","1","31","787","2522","2025-03-08T16:35:04.282Z","2705"
"79.127.35.243","elite","AS43754","IR","Asiatech Data Transmission company","111","Azad University","5678","socks5","1","96","8737","9116","2025-03-08T16:35:04.280Z","63"
"147.161.163.17","elite","AS62044","ZA","Zscaler Switzerland GmbH","170","Zscaler Jnb3","10089","socks4","1","95","1691","1780","2025-03-08T16:35:04.277Z","4905"
"181.209.103.98","elite","AS52361","AR","ARSAT - Empresa Argentina de Soluciones Satelitales S.A","254","Beltran Jorge Humberto","5678","socks4","1","98","2420","2457","2025-03-08T16:35:04.281Z","3194"
"1.179.242.33","elite","AS23969","TH","TOT Public Company Limited","213","TOT Public Company Limited","4145","socks4","1","82","7587","9305","2025-03-08T16:35:04.269Z","746"
"212.33.197.37","elite","AS43754","IR","Asiatech Data Transmission company","91","WANGSU","80","socks5","1","99","2370","2382","2025-03-08T16:34:54.668Z","3096"
"91.226.14.136","elite","AS56649","UA","PetrovkaRoute","76","Chernysh Dmitry Petrovich","5678","socks4","1","98","2448","2486","2025-03-08T16:34:54.571Z","1797"
"167.71.191.243","elite","AS14061","US","DigitalOcean, LLC","96","DigitalOcean, LLC","25705","socks5","1","75","1774","2380","2025-03-08T16:34:54.571Z","422"
"31.217.213.227","elite","AS206065","IR","Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS","411","Fanaptelecom Network","8090","socks4","1","73","6725","9200","2025-03-08T16:34:54.573Z","3201"
"154.17.34.158","elite","AS174","US","Cogent Communications","90","Cogent Communications - IPENG","6687","socks4","1","100","2359","2364","2025-03-08T16:34:54.669Z","1289"
"109.123.254.43","elite","AS51167","DE","Contabo GmbH","14","TerraTransit AG","30513","socks4","1","97","2443","2512","2025-03-08T16:34:54.568Z","1892"
"185.132.228.237","elite","AS210238","IT","Dieffeitalia.it S.r.l.","47","Dieffeitalia.it S.r.l","21023","socks5","1","99","9000","9121","2025-03-08T16:34:54.668Z","1195"
"95.140.124.161","elite","AS9125","RS","Drustvo za telekomunikacije Orion telekom doo Beograd, Gandijeva 76a","32","Orion Telekom Network","1080","socks4","1","100","9191","9201","2025-03-08T16:34:54.584Z","3905"
"217.182.192.53","elite","AS16276","FR","OVH SAS","17","OVH","57799","socks5","1","100","9190","9191","2025-03-08T16:34:54.585Z","1800"
"185.161.186.82","elite","AS43618","ES","Inforcelra SLU","42","INFORCELRA SL","54321","socks4","1","100","9240","9271","2025-03-08T16:34:54.572Z","868"
"95.66.138.21","elite","AS35645","RU","Limited Liability Company \"Infocentre\"","55","Limited Liability Company","8880","socks4","1","78","1263","1617","2025-03-08T16:34:54.485Z","3201"
"109.236.83.71","elite","AS49981","NL","WorldStream B.V.","97","N/A","28655","socks4","1","100","1764","1764","2025-03-08T16:34:54.666Z","651"
"93.184.7.73","elite","N/A","PS","BNET network","65","N/A","1080","socks4","1","99","2480","2513","2025-03-08T16:34:54.484Z","4808"
"167.71.220.29","elite","AS14061","SG","DigitalOcean, LLC","188","DigitalOcean, LLC","7497","socks4","1","96","2249","2352","2025-03-08T16:34:54.574Z","2900"
